Class	Architecture	Topology
:Alpha_Beta	:2-Layer_Sandwich	:mini-chromosome_maintenance_(MCM)_complex,_chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:M1_Pyruvate_Kinase;_Domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Mainly_Alpha	:Orthogonal_Bundle	:Death_Domain,_Fas
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase_I;_Chain_A,_domain_4
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Ribbon	:Laminin
:Mainly_Alpha	:Up-down_Bundle	:Histone_Acetyltransferase;_Chain_A
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Udp_N-acetylglucosamine_O-acyltransferase;_Domain_2
:Alpha_Beta	:Roll	:Diaminopimelate_Epimerase;_Chain_A,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Beta_Barrel	:Elongation_Factor_Tu_(Ef-tu);_domain_3
:Mainly_Beta	:Beta_Barrel	:Porin
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Collagenase_(Catalytic_Domain)
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:NK-Lysin
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_breaking-rejoining_enzymes_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Distorted_Sandwich	:Coagulation_Factor_XIII;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:lipopolysaccharide_transport_protein_A_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aminopeptidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Severin
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Uridine_Diphospho-n-acetylenolpyruvylglucosamine_Reductase;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Transferase(Phosphotransferase);_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Alpha	:Up-down_Bundle	:Vanadium-containing_Chloroperoxidase;_domain_1
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Mainly_Beta	:Beta_Barrel	:Butyryl-CoA_Dehydrogenase,_subunit_A;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase_I;_Chain_A,_domain_4
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Retinoid_X_Receptor
:Alpha_Beta	:Roll	:P-30_Protein
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Mainly_Beta	:3_Solenoid	:Pectate_Lyase_C-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Potassium_Channel_Kv1.1;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Beta_Complex	:Beta-clip-like
:Mainly_Alpha	:Up-down_Bundle	:3_helical_TM_bundles_of_succinate_and_fumarate_reductases
:Alpha_Beta	:Alpha-Beta_Complex	:Cyclic_Phosphodiesterase;_Chain:_A,
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:4-Layer_Sandwich	:Metallo-beta-lactamase;_Chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Beta	:Roll	:PH-domain_like
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_Binding_(I),_subunit_A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Up-down_Bundle	:all-alpha_NTP_pyrophosphatase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:3_Solenoid	:Pectate_Lyase_C-like
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:SHC_Adaptor_Protein
:Alpha_Beta	:2-Layer_Sandwich	:Ribosomal_Protein_S8;_Chain:_A,_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Cathepsin_B;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:60s_Ribosomal_Protein_L30;_Chain:_A;
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:VC0467-like
:Mainly_Beta	:Distorted_Sandwich	:Thrombin_Inhibitor_(Hirudin);_Chain_I
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Udp-n-acetylmuramoylalanyl-d-glutamate--2,6-_Diaminopimelate_Ligase;_Chain:_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Mainly_Alpha	:Alpha/alpha_barrel	:Glycosyltransferase
:Alpha_Beta	:2-Layer_Sandwich	:Fructose-1,6-Bisphosphatase;_Chain_A,_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Histone,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:phosphoenolpyruvate_carboxylase,_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Methyltransferase,_Methionine_Synthase_(B12-binding_Domains);_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:4-Layer_Sandwich	:Glutamine_Phosphoribosylpyrophosphate,_subunit_1,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Alpha	:Orthogonal_Bundle	:Farnesyl_Diphosphate_Synthase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Enzyme_I;_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_2
:Alpha_Beta	:3-Layer(bba)_Sandwich	:FAD/NAD(P)-binding_domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:Alpha-Beta_Complex	:Spore_Coat_Polysaccharide_Biosynthesis_Protein_SpsA;_Chain_A
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:Roll	:NE1680-like_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aspartate_Aminotransferase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:UDP-N-acetylmuramoyl-L-alanine:D-glutamate_ligase
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Alpha-Beta_Complex	:Aspartate_Aminotransferase,_domain_1
:Alpha_Beta	:Roll	:Mannose-Binding_Protein_A;_Chain_A
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Alpha_Beta	:2-Layer_Sandwich	:Arylamine_N-acetyltransferase_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Alpha	:Orthogonal_Bundle	:Neurolysin;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:Sandwich	:Protocatechuate_3,4-Dioxygenase,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Alpha-Beta_Complex	:Hemagglutinin_Ectodomain;_Chain_B
:Alpha_Beta	:Alpha-Beta_Complex	:Isoleucyl-tRNA_Synthetase;_domain_2
:Alpha_Beta	:Roll	:Thiol_Ester_Dehydrase;_Chain_A
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Alpha_Beta	:Roll	:VSV_matrix_protein
:Alpha_Beta	:2-Layer_Sandwich	:Double_Stranded_RNA_Binding_Domain
:Alpha_Beta	:Alpha-Beta_Complex	:sialyltransferase_cstii,_chain_A
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Roll	:CBS-domain
:Mainly_Alpha	:Up-down_Bundle	:Lysin
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Translation_Initiation_Factor_Eif1
:Alpha_Beta	:Roll	:Nuclear_Transport_Factor_2;_Chain:_A,
:Mainly_Beta	:Sandwich	:HSP40/DNAj_peptide-binding_domain
:Alpha_Beta	:Alpha-Beta_Complex	:Cryptophytan_Phycoerythrin_(Alpha-1_Chain);_Chain_A
:Mainly_Beta	:8_Propeller	:Methanol_Dehydrogenase;_Chain_A
:Mainly_Beta	:Ribbon	:Complement_Module;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:Cytochrome_C3
:Alpha_Beta	:2-Layer_Sandwich	:Herpes_Virus-1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant
:Alpha_Beta	:Roll	:Chitinase_A;_domain_3
:Alpha_Beta	:4-Layer_Sandwich	:Purple_Acid_Phosphatase;_chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Enolase-like;_domain_1
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Mainly_Beta	:Beta_Barrel	:Maltoporin;_Chain_A
:Alpha_Beta	:Alpha-Beta_Complex	:Quinone_Oxidoreductase;_Chain_A,_domain_1
:Mainly_Beta	:Roll	:Urease,_subunit_C;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Mainly_Alpha	:Up-down_Bundle	:Ferritin
:Alpha_Beta	:Alpha-Beta_Complex	:5'-nucleotidase;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Ribbon	:Tumor_Necrosis_Factor_Receptor,_subunit_A;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Helicase,_Ruva_Protein;_domain_3
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:GIY-YIG_endonuclease
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Mainly_Beta	:7_Propeller	:Methylamine_Dehydrogenase;_Chain_H
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Lyase_2-enoyl-coa_Hydratase;_Chain_A,_domain_2
:Mainly_Beta	:Roll	:Pdz3_Domain
:Mainly_Alpha	:Up-down_Bundle	:Methane_Monooxygenase_Hydroxylase;_Chain_G,_domain_1
:Alpha_Beta	:Alpha-Beta_Complex	:2-enoyl-CoA_Hydratase;_Chain_A,_domain_1
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:Transcription_Regulator_spoIIAA
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Mainly_Beta	:Single_Sheet	:N-terminal_domain_of_TfIIb
:Alpha_Beta	:Alpha-Beta_Barrel	:ADP-ribosylation_fold
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Orthogonal_Bundle	:Annexin_V;_domain_1
:Mainly_Alpha	:Up-down_Bundle	:AhpD-like
:Alpha_Beta	:2-Layer_Sandwich	:Pseudouridine_synthase
:Alpha_Beta	:2-Layer_Sandwich	:GMP_Synthetase;_Chain_A,_domain_3
:Alpha_Beta	:Alpha-Beta_Complex	:Dipeptide-binding_Protein;_domain_1
:Alpha_Beta	:Roll	:DNA_Polymerase_III;_Chain_A,_domain_2
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Mainly_Alpha	:Orthogonal_Bundle	:Hypothetical_protein_af1432
:Mainly_Beta	:Single_Sheet	:Anthopleurin-A
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Topoisomerase;_domain_3
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Mainly_Alpha	:Orthogonal_Bundle	:Pyruvate_Phosphate_di-kinase;_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Sandwich	:eubacterium_ventriosum_atcc_fold
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_Binding_(I),_subunit_A
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Glutaredoxin
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Collagenase_(Catalytic_Domain)
:Mainly_Alpha	:Alpha_Horseshoe	:Serine_Threonine_Protein_Phosphatase_5,_Tetratricopeptide_repeat
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Beta	:Roll	:SH3_type_barrels.
:Mainly_Beta	:6_Propeller	:Neuraminidase
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:Dna_Ligase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Beta_Polymerase;_domain_2
:Mainly_Beta	:Beta_Barrel	:Thrombin,_subunit_H
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:2-Layer_Sandwich	:Gyrase_A;_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Creatine_Kinase;_Chain_A,_domain_2
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Non-ribosomal_Peptide_Synthetase_Peptidyl_Carrier_Protein;_Chain_A
:Alpha_Beta	:Alpha-Beta_Complex	:threonine_synthase,_domain_1,_chain_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:D-Maltodextrin-Binding_Protein;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Growth_Hormone;_Chain:_A;
:Mainly_Alpha	:Orthogonal_Bundle	:Cytochrome_p450-Terp;_domain_2
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Alpha_Beta	:2-Layer_Sandwich	:TATA-Binding_Protein
:Mainly_Alpha	:Up-down_Bundle	:Single_alpha-helices_involved_in_coiled-coils_or_other_helix-helix_interfaces
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:OB_fold_(Dihydrolipoamide_Acetyltransferase,_E2P)
:Alpha_Beta	:2-Layer_Sandwich	:D-amino_Acid_Aminotransferase;_Chain_A,_domain_1
:Mainly_Beta	:Sandwich	:Immunoglobulin-like
:Alpha_Beta	:2-Layer_Sandwich	:Beta-Lactamase
:Alpha_Beta	:Alpha-Beta_Horseshoe	:Leucine-rich_repeat,_LRR_(right-handed_beta-alpha_superhelix)
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Globin-like
:Mainly_Alpha	:Orthogonal_Bundle	:Tetracycline_Repressor;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:2-Layer_Sandwich	:SHC_Adaptor_Protein
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Alpha	:Up-down_Bundle	:Ferritin
:Alpha_Beta	:2-Layer_Sandwich	:Pantoate--beta-alanine_Ligase;_Chain:_A,domain_2
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Alpha_Beta	:Alpha-Beta_Complex	:Ribosomal_Protein_L13p;_Chain:_A;
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Aldehyde_Dehydrogenase;_Chain_A,_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Beta_Barrel	:Cathepsin_D,_subunit_A;_domain_1
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Orthogonal_Bundle	:Helix_Hairpins
:Alpha_Beta	:2-Layer_Sandwich	:Chitobiase;_domain_2
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Alpha_Beta	:2-Layer_Sandwich	:Nucleotidyltransferase;_domain_5
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Mainly_Alpha	:Up-down_Bundle	:Four_Helix_Bundle_(Hemerythrin_(Met),_subunit_A)
:Mainly_Alpha	:Alpha_Horseshoe	:Leucine-rich_Repeat_Variant
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Beta	:Aligned_Prism	:Vitelline_Membrane_Outer_Layer_Protein_I,_subunit_A
:Alpha_Beta	:Alpha-beta_prism	:UDP-n-acetylglucosamine1-carboxyvinyl-transferase;_Chain
:Mainly_Beta	:Beta_Barrel	:Lipocalin
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Few_Secondary_Structures	:Irregular	:Ricin_(A_Subunit),_domain_2
:Alpha_Beta	:3-Layer(bba)_Sandwich	:Glucose_Oxidase;_domain_1
:Mainly_Beta	:Sandwich	:Jelly_Rolls
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Mainly_Beta	:Sandwich	:ATP_Synthase;_domain_1
:Alpha_Beta	:Roll	:Ubiquitin-like_(UB_roll)
:Alpha_Beta	:3-Layer(aba)_Sandwich	:Rossmann_fold
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Few_Secondary_Structures	:Irregular	:HIV-1_Nucleocapsid_Protein
:Alpha_Beta	:Alpha-Beta_Barrel	:TIM_Barrel
:Alpha_Beta	:Alpha-Beta_Barrel	:N-terminal_domain_of_MutM-like_DNA_repair_proteins
:Alpha_Beta	:2-Layer_Sandwich	:Alpha-Beta_Plaits
:Mainly_Alpha	:Orthogonal_Bundle	:DNA_polymerase;_domain_1
:Mainly_Alpha	:Orthogonal_Bundle	:Arc_Repressor_Mutant,_subunit_A
:Alpha_Beta	:Roll	:DNA_Polymerase_III;_Chain_A,_domain_2
:Alpha_Beta	:2-Layer_Sandwich	:Phosphorylase_Kinase;_domain_1
